3563,0.6010132,0.6464844,3.6033936,3.7479858,4,-8,27,-17,-6,112
3579,0.6005249,0.64727783,3.6047363,3.7467651,4,-42,29,-98,-7,-58
3595,0.60058594,0.6480713,3.6066284,3.7459106,3,-4,31,81,-6,13
3595,0.600647,0.6487427,3.6079712,3.7457275,4,50,33,77,-6,123
3611,0.6015625,0.6488037,3.6099854,3.744995,4,89,35,-124,-6,-101
3627,0.6010742,0.6496582,3.6107788,3.744751,5,98,37,69,-8,57
3627,0.5985718,0.6520996,3.6102295,3.7461548,4,84,38,102,-8,33
3643,0.5975342,0.6539917,3.6115112,3.746521,3,81,37,-49,-6,-8
3643,0.59747314,0.6546631,3.6124878,3.746582,4,1,35,-1,-6,78
3658,0.59661865,0.6559448,3.6130981,3.7470093,3,111,35,41,-5,-58
3674,0.59606934,0.65667725,3.6134644,3.7469482,3,-105,33,-105,-4,109
3674,0.59643555,0.65667725,3.61438,3.746399,3,-103,31,-65,-3,54
3691,0.59698486,0.6566162,3.6154175,3.7460938,3,-113,30,109,-3,13
3707,0.5975342,0.6567383,3.616516,3.7458496,3,-68,30,59,-3,65
3707,0.5979004,0.6567383,3.6174316,3.7454224,3,-14,29,-67,-3,-121
3723,0.59820557,0.6566162,3.618103,3.744934,4,98,29,62,-3,-60
3723,0.5985718,0.65649414,3.6188354,3.7442017,4,-83,29,62,-2,9
3739,0.59851074,0.6564331,3.6193848,3.743164,4,-92,29,115,-3,44
3754,0.5979614,0.6566162,3.619629,3.7420654,4,-123,30,52,-4,-15
3755,0.5977173,0.65667725,3.6201172,3.7407227,4,85,30,112,-3,70
3770,0.5983887,0.6558838,3.6209106,3.7391968,4,5,30,90,-4,86
3786,0.5968628,0.6565552,3.6205444,3.738037,4,89,31,-78,-5,74
3802,0.59472656,0.65753174,3.6206055,3.7354736,3,20,32,99,-6,-38
3802,0.59399414,0.657959,3.6207886,3.7346191,2,-112,32,-122,-6,126
3835,0.5932007,0.6588745,3.621582,3.7339478,2,-98,32,60,-6,118
3835,0.5930176,0.6590576,3.6218262,3.7337036,2,-44,31,-11,-6,115
3851,0.5928345,0.6592407,3.6219482,3.7335205,3,8,31,-73,-6,109
3866,0.5927124,0.65930176,3.6221313,3.7332764,2,-6,31,-108,-6,97
3867,0.59265137,0.6594238,3.6223145,3.7329712,2,-12,31,115,-6,81
3882,0.5927124,0.65948486,3.6227417,3.732788,3,40,31,118,-6,122
3882,0.5928955,0.65948486,3.623169,3.732605,3,107,31,125,-6,-44
3899,0.5930786,0.6594238,3.6235352,3.7322388,3,-98,31,116,-5,13
3915,0.5930786,0.6593628,3.6238403,3.7318115,3,-76,31,109,-5,61
3915,0.5930786,0.6593628,3.6241455,3.7312622,3,-58,31,89,-5,53
3931,0.59295654,0.6594238,3.6244507,3.730713,3,-73,31,43,-5,71
